 # q,I,sigma
 # errors rescaled with constant factor:    1.12195468    
 # factor also written to scale_factor.d
   3.72556895E-02 -0.928315997       1.22161794    
   2.60450506      0.381387800       2.66903024E-02
   2.60919905      0.431418389       2.69829314E-02
   2.61389208      0.411581695       2.71213241E-02
   2.61858511      0.392757595       2.63726451E-02
   2.62327909      0.429448992       2.66723409E-02
   2.62797189      0.461477011       2.67459527E-02
   2.63266492      0.402119905       2.68342178E-02
   2.63735890      0.462158203       2.65756957E-02
   2.64205194      0.454834104       2.65592933E-02
   2.64674497      0.434005201       2.65578218E-02
   2.65143800      0.393043399       2.68358663E-02
   2.65613198      0.462145388       2.66841315E-02
   2.66082501      0.379849494       2.61157285E-02
   2.66551805      0.369413286       2.64585987E-02
   2.67021203      0.430701494       2.67534256E-02
   2.67490506      0.374739796       2.66165789E-02
   2.67959809      0.390571505       2.60167718E-02
   2.68429208      0.342510194       2.64327135E-02
   2.68898511      0.376880109       2.64447629E-02
   2.69367790      0.398701489       2.66695134E-02
   2.69837189      0.362701505       2.59987414E-02
   2.70306492      0.382818907       2.63351258E-02
   2.70775795      0.332926005       2.63315458E-02
   2.71245193      0.433767915       2.64184196E-02
   2.71714497      0.418272913       2.59721857E-02
   2.72183800      0.369477004       2.62347907E-02
   2.72653198      0.351972014       2.63214502E-02
   2.73122501      0.394673496       2.62988191E-02
   2.73591805      0.383813798       2.60518882E-02
   2.74061203      0.439844310       2.59019732E-02
   2.74530506      0.366739810       2.62594614E-02
   2.74999809      0.391714305       2.62224916E-02
   2.75469208      0.350854605       2.61539854E-02
   2.75938511      0.374528110       2.56720167E-02
   2.76407790      0.332918406       2.61685718E-02
   2.76877189      0.393040806       2.59919874E-02
   2.77346492      0.389989793       2.61324216E-02
   2.77815795      0.379214287       2.56549977E-02
   2.78285193      0.412561208       2.60332525E-02
   2.78754497      0.366803586       2.58620102E-02
   2.79223800      0.355020404       2.61805765E-02
   2.79693198      0.357306093       2.55829692E-02
   2.80162501      0.358989805       2.59439908E-02
   2.80631804      0.396068901       2.58110054E-02
   2.81101203      0.382456690       2.65132692E-02
   2.81570506      0.305696487       2.68671904E-02
   2.82039809      0.356079102       2.73493398E-02
   2.82509208      0.371645391       2.75566671E-02
   2.82978511      0.350247502       2.77911648E-02
   2.83447790      0.353931099       2.78723165E-02
   2.83917189      0.366640300       2.79272478E-02
   2.84386492      0.315331608       2.79715993E-02
   2.84855795      0.357273012       2.81808656E-02
   2.85325193      0.393992305       2.82677487E-02
   2.85794497      0.363895386       2.80864425E-02
   2.86263800      0.367397904       2.82023381E-02
   2.86733198      0.323857188       2.84387674E-02
   2.87202501      0.346178591       2.84602530E-02
   2.87671804      0.329395413       2.71546915E-02
   2.88141108      0.360387802       2.71853209E-02
   2.88610506      0.354222000       2.68464684E-02
   2.89079809      0.392479599       2.66342834E-02
   2.89549088      0.329711705       2.61873081E-02
   2.90018511      0.320599496       2.62055621E-02
   2.90487790      0.384420902       2.63394359E-02
   2.90957093      0.336520404       2.62895748E-02
   2.91426492      0.345512807       2.59457063E-02
   2.91895795      0.331772894       2.60210354E-02
   2.92365098      0.366443902       2.62419246E-02
   2.92834496      0.344229609       2.58578695E-02
   2.93303800      0.356222004       2.57548839E-02
   2.93773103      0.309081614       2.58664861E-02
   2.94242501      0.316313803       2.59532463E-02
   2.94711804      0.346193910       2.58628167E-02
   2.95181108      0.348551005       2.57895309E-02
   2.95650506      0.378078997       2.55355425E-02
   2.96119809      0.366293311       2.57727019E-02
